finding_id,provider,resource_id,region,control_domain,framework,severity,compliance_status,owner,age_days,remediation_status,mfa_enabled,public_exposure,encryption_enabled,severity_rank,is_noncompliant,is_high_risk,is_open_risk,risk_score
FND-0048,Azure,Azure-RES-0048,UK South,Network Security,NIST,High,Compliant,Security,34,Not Required,,0.0,,3,0,1,0,3.38
FND-0049,AWS,AWS-RES-0049,eu-west-1,Configuration,CIS,High,Compliant,IAM,290,Not Required,,,,3,0,1,0,6.0
FND-0050,Azure,Azure-RES-0050,UK South,Data Protection,ISO 27001,Low,Non-Compliant,Security,254,Open,,,1.0,1,1,0,1,4.82
FND-0051,AWS,AWS-RES-0051,us-east-1,Configuration,CIS,Medium,Compliant,Security,213,Not Required,,,,2,0,0,0,4.37
FND-0052,Azure,Azure-RES-0052,West Europe,Identity & Access,NIST,High,Compliant,Network,142,Not Required,1.0,,,3,0,1,0,4.58
FND-0053,Azure,Azure-RES-0053,East US,Data Protection,NIST,Medium,Compliant,Network,49,Not Required,,,1.0,2,0,0,0,2.54
FND-0054,Azure,Azure-RES-0054,UK South,Identity & Access,ISO 27001,High,Exception,Security,184,Open,1.0,,,3,0,1,1,5.04
FND-0055,Azure,Azure-RES-0055,UK South,Identity & Access,ISO 27001,Medium,Non-Compliant,IAM,257,Accepted Risk,1.0,,,2,1,0,0,6.86
FND-0056,Azure,Azure-RES-0056,West Europe,Data Protection,CIS,High,Compliant,Cloud Ops,125,Not Required,,,1.0,3,0,1,0,4.39
FND-0057,Azure,Azure-RES-0057,UK South,Logging & Monitoring,ISO 27001,Low,Exception,Cloud Ops,57,Remediated,,,,1,0,0,0,1.63
FND-0058,Azure,Azure-RES-0058,West Europe,Identity & Access,CIS,Medium,Compliant,IAM,272,Not Required,1.0,,,2,0,0,0,5.0
FND-0059,AWS,AWS-RES-0059,us-east-1,Configuration,ISO 27001,Medium,Compliant,Cloud Ops,97,Not Required,,,,2,0,0,0,3.08
FND-0060,AWS,AWS-RES-0060,eu-west-2,Identity & Access,CIS,High,Exception,Cloud Ops,254,In Progress,1.0,,,3,0,1,1,5.82
FND-0061,Azure,Azure-RES-0061,UK South,Identity & Access,ISO 27001,Medium,Non-Compliant,Network,71,Open,1.0,,,2,1,0,1,4.79
FND-0062,AWS,AWS-RES-0062,eu-west-2,Identity & Access,NIST,High,Compliant,Platform,250,Not Required,0.0,,,3,0,1,0,5.78
FND-0063,Azure,Azure-RES-0063,East US,Network Security,CIS,Medium,Compliant,Cloud Ops,268,Not Required,,0.0,,2,0,0,0,4.98
FND-0064,Azure,Azure-RES-0064,East US,Identity & Access,ISO 27001,Medium,Compliant,Network,306,Not Required,1.0,,,2,0,0,0,5.0
FND-0065,Azure,Azure-RES-0065,UK South,Configuration,CIS,High,Compliant,Platform,259,Not Required,,,,3,0,1,0,5.88
FND-0066,Azure,Azure-RES-0066,East US,Logging & Monitoring,ISO 27001,Low,Compliant,Network,239,Not Required,,,,1,0,0,0,3.66
FND-0067,Azure,Azure-RES-0067,West Europe,Data Protection,CIS,Medium,Compliant,Network,60,Not Required,,,1.0,2,0,0,0,2.67
FND-0068,AWS,AWS-RES-0068,eu-west-1,Network Security,NIST,Critical,Compliant,IAM,319,Not Required,,0.0,,4,0,1,0,7.0
FND-0069,AWS,AWS-RES-0069,us-east-1,Network Security,CIS,High,Exception,Network,28,In Progress,,0.0,,3,0,1,1,3.31
FND-0070,AWS,AWS-RES-0070,eu-west-1,Identity & Access,ISO 27001,Medium,Non-Compliant,Platform,315,In Progress,1.0,,,2,1,0,1,7.0
FND-0071,Azure,Azure-RES-0071,East US,Backup & Recovery,ISO 27001,High,Compliant,Platform,294,Not Required,,,,3,0,1,0,6.0
FND-0072,AWS,AWS-RES-0072,us-east-1,Data Protection,CIS,Critical,Non-Compliant,Network,46,In Progress,,,1.0,4,1,1,1,8.51
FND-0073,AWS,AWS-RES-0073,eu-west-2,Logging & Monitoring,NIST,Medium,Compliant,IAM,85,Not Required,,,,2,0,0,0,2.94
FND-0074,AWS,AWS-RES-0074,us-east-1,Network Security,ISO 27001,Medium,Compliant,Security,44,Not Required,,1.0,,2,0,0,0,2.49
FND-0075,Azure,Azure-RES-0075,West Europe,Data Protection,CIS,High,Non-Compliant,Network,179,Remediated,,,1.0,3,1,1,0,7.99
FND-0076,AWS,AWS-RES-0076,us-east-1,Network Security,CIS,Low,Compliant,Cloud Ops,236,Not Required,,0.0,,1,0,0,0,3.62
FND-0077,Azure,Azure-RES-0077,UK South,Network Security,CIS,Critical,Compliant,Security,168,Not Required,,0.0,,4,0,1,0,5.87
FND-0078,AWS,AWS-RES-0078,eu-west-2,Configuration,CIS,Critical,Compliant,Security,82,Not Required,,,,4,0,1,0,4.91
FND-0079,Azure,Azure-RES-0079,East US,Configuration,NIST,High,Non-Compliant,Platform,120,In Progress,,,,3,1,1,1,7.33
FND-0080,AWS,AWS-RES-0080,us-east-1,Backup & Recovery,CIS,Low,Exception,IAM,355,In Progress,,,,1,0,0,1,4.0
FND-0081,Azure,Azure-RES-0081,West Europe,Data Protection,ISO 27001,High,Compliant,Security,147,Not Required,,,0.0,3,0,1,0,4.63
FND-0082,Azure,Azure-RES-0082,UK South,Identity & Access,CIS,High,Compliant,IAM,347,Not Required,1.0,,,3,0,1,0,6.0
FND-0083,AWS,AWS-RES-0083,eu-west-1,Identity & Access,ISO 27001,Medium,Non-Compliant,Network,211,Open,0.0,,,2,1,0,1,6.34
FND-0084,Azure,Azure-RES-0084,West Europe,Identity & Access,NIST,High,Non-Compliant,Cloud Ops,129,Remediated,1.0,,,3,1,1,0,7.43
FND-0085,AWS,AWS-RES-0085,eu-west-2,Identity & Access,CIS,Medium,Exception,Network,93,Accepted Risk,0.0,,,2,0,0,0,3.03
FND-0086,AWS,AWS-RES-0086,eu-west-1,Data Protection,CIS,Medium,Compliant,Cloud Ops,117,Not Required,,,1.0,2,0,0,0,3.3
FND-0087,AWS,AWS-RES-0087,eu-west-1,Logging & Monitoring,CIS,High,Compliant,Platform,153,Not Required,,,,3,0,1,0,4.7
FND-0088,AWS,AWS-RES-0088,us-east-1,Configuration,NIST,High,Compliant,Network,215,Not Required,,,,3,0,1,0,5.39
FND-0089,Azure,Azure-RES-0089,UK South,Configuration,NIST,High,Non-Compliant,Security,250,Open,,,,3,1,1,1,8.78
FND-0090,AWS,AWS-RES-0090,eu-west-2,Network Security,CIS,Medium,Exception,IAM,121,Remediated,,0.0,,2,0,0,0,3.34
FND-0091,Azure,Azure-RES-0091,East US,Logging & Monitoring,NIST,High,Compliant,Network,228,Not Required,,,,3,0,1,0,5.53
FND-0092,Azure,Azure-RES-0092,East US,Configuration,ISO 27001,High,Compliant,Security,243,Not Required,,,,3,0,1,0,5.7
FND-0093,AWS,AWS-RES-0093,eu-west-2,Data Protection,NIST,Low,Non-Compliant,Cloud Ops,176,Open,,,1.0,1,1,0,1,3.96
FND-0094,AWS,AWS-RES-0094,us-east-1,Logging & Monitoring,ISO 27001,Low,Compliant,Network,213,Not Required,,,,1,0,0,0,3.37
FND-0095,AWS,AWS-RES-0095,us-east-1,Identity & Access,ISO 27001,Low,Compliant,Platform,236,Not Required,1.0,,,1,0,0,0,3.62
FND-0096,AWS,AWS-RES-0096,eu-west-2,Identity & Access,CIS,Medium,Non-Compliant,Network,63,Open,1.0,,,2,1,0,1,4.7
FND-0097,AWS,AWS-RES-0097,eu-west-2,Network Security,NIST,High,Non-Compliant,Cloud Ops,147,Open,,1.0,,3,1,1,1,7.63
FND-0098,AWS,AWS-RES-0098,us-east-1,Network Security,CIS,Low,Exception,IAM,258,Accepted Risk,,0.0,,1,0,0,0,3.87
FND-0099,Azure,Azure-RES-0099,East US,Logging & Monitoring,CIS,Low,Compliant,IAM,358,Not Required,,,,1,0,0,0,4.0
FND-0100,AWS,AWS-RES-0100,eu-west-1,Logging & Monitoring,ISO 27001,Medium,Compliant,Network,306,Not Required,,,,2,0,0,0,5.0
FND-0101,Azure,Azure-RES-0101,UK South,Identity & Access,ISO 27001,Low,Exception,Network,169,Accepted Risk,0.0,,,1,0,0,0,2.88
FND-0102,Azure,Azure-RES-0102,East US,Configuration,ISO 27001,Medium,Compliant,Platform,134,Not Required,,,,2,0,0,0,3.49
FND-0103,AWS,AWS-RES-0103,eu-west-2,Identity & Access,ISO 27001,Medium,Compliant,Platform,254,Not Required,1.0,,,2,0,0,0,4.82
FND-0104,Azure,Azure-RES-0104,East US,Identity & Access,ISO 27001,Medium,Non-Compliant,Cloud Ops,207,In Progress,1.0,,,2,1,0,1,6.3
FND-0105,Azure,Azure-RES-0105,UK South,Configuration,ISO 27001,Critical,Compliant,IAM,156,Not Required,,,,4,0,1,0,5.73
FND-0106,Azure,Azure-RES-0106,East US,Logging & Monitoring,CIS,High,Non-Compliant,Platform,342,Accepted Risk,,,,3,1,1,0,9.0
FND-0107,Azure,Azure-RES-0107,East US,Backup & Recovery,CIS,Medium,Compliant,Network,163,Not Required,,,,2,0,0,0,3.81
FND-0108,Azure,Azure-RES-0108,East US,Network Security,CIS,High,Compliant,Cloud Ops,355,Not Required,,1.0,,3,0,1,0,6.0
FND-0109,AWS,AWS-RES-0109,us-east-1,Data Protection,ISO 27001,Low,Non-Compliant,Platform,341,Open,,,1.0,1,1,0,1,5.0
FND-0110,Azure,Azure-RES-0110,UK South,Logging & Monitoring,ISO 27001,Medium,Compliant,Cloud Ops,249,Not Required,,,,2,0,0,0,4.77
FND-0111,AWS,AWS-RES-0111,eu-west-1,Backup & Recovery,CIS,Critical,Compliant,Network,342,Not Required,,,,4,0,1,0,7.0
FND-0112,AWS,AWS-RES-0112,eu-west-1,Logging & Monitoring,ISO 27001,High,Non-Compliant,IAM,168,Open,,,,3,1,1,1,7.87
FND-0113,Azure,Azure-RES-0113,UK South,Backup & Recovery,NIST,Medium,Exception,Platform,22,In Progress,,,,2,0,0,1,2.24
FND-0114,Azure,Azure-RES-0114,East US,Logging & Monitoring,CIS,High,Compliant,Platform,340,Not Required,,,,3,0,1,0,6.0
FND-0115,Azure,Azure-RES-0115,East US,Backup & Recovery,CIS,High,Compliant,Cloud Ops,156,Not Required,,,,3,0,1,0,4.73
FND-0116,AWS,AWS-RES-0116,eu-west-2,Network Security,CIS,Medium,Compliant,Network,121,Not Required,,0.0,,2,0,0,0,3.34
FND-0117,AWS,AWS-RES-0117,us-east-1,Identity & Access,NIST,Medium,Compliant,Cloud Ops,35,Not Required,1.0,,,2,0,0,0,2.39
FND-0118,Azure,Azure-RES-0118,West Europe,Identity & Access,NIST,Medium,Compliant,Cloud Ops,111,Not Required,0.0,,,2,0,0,0,3.23
FND-0119,Azure,Azure-RES-0119,West Europe,Data Protection,CIS,Medium,Compliant,Security,251,Not Required,,,1.0,2,0,0,0,4.79
FND-0120,Azure,Azure-RES-0120,East US,Identity & Access,NIST,Medium,Compliant,Network,309,Not Required,0.0,,,2,0,0,0,5.0
FND-0121,Azure,Azure-RES-0121,West Europe,Backup & Recovery,NIST,Medium,Compliant,Cloud Ops,343,Not Required,,,,2,0,0,0,5.0
FND-0122,Azure,Azure-RES-0122,UK South,Configuration,CIS,High,Compliant,Security,33,Not Required,,,,3,0,1,0,3.37
FND-0123,AWS,AWS-RES-0123,eu-west-1,Identity & Access,ISO 27001,Critical,Compliant,Network,230,Not Required,1.0,,,4,0,1,0,6.56
FND-0124,AWS,AWS-RES-0124,us-east-1,Configuration,NIST,Medium,Compliant,Network,281,Not Required,,,,2,0,0,0,5.0
FND-0125,AWS,AWS-RES-0125,eu-west-1,Identity & Access,NIST,Low,Compliant,Platform,92,Not Required,1.0,,,1,0,0,0,2.02
FND-0126,Azure,Azure-RES-0126,UK South,Identity & Access,CIS,High,Compliant,Platform,273,Not Required,1.0,,,3,0,1,0,6.0
FND-0127,Azure,Azure-RES-0127,East US,Identity & Access,NIST,Medium,Compliant,Security,239,Not Required,1.0,,,2,0,0,0,4.66
FND-0128,AWS,AWS-RES-0128,eu-west-1,Configuration,ISO 27001,Low,Non-Compliant,Cloud Ops,288,Remediated,,,,1,1,0,0,5.0
FND-0129,AWS,AWS-RES-0129,us-east-1,Network Security,CIS,Critical,Compliant,Security,196,Not Required,,1.0,,4,0,1,0,6.18
FND-0130,Azure,Azure-RES-0130,East US,Network Security,CIS,Medium,Compliant,Security,287,Not Required,,0.0,,2,0,0,0,5.0
FND-0131,AWS,AWS-RES-0131,eu-west-2,Backup & Recovery,NIST,Medium,Compliant,IAM,101,Not Required,,,,2,0,0,0,3.12
FND-0132,AWS,AWS-RES-0132,eu-west-1,Logging & Monitoring,CIS,High,Non-Compliant,Network,28,Remediated,,,,3,1,1,0,6.31
FND-0133,AWS,AWS-RES-0133,eu-west-1,Identity & Access,ISO 27001,Medium,Compliant,Platform,182,Not Required,0.0,,,2,0,0,0,4.02
FND-0134,AWS,AWS-RES-0134,eu-west-1,Configuration,ISO 27001,Critical,Compliant,IAM,211,Not Required,,,,4,0,1,0,6.34
FND-0135,AWS,AWS-RES-0135,us-east-1,Network Security,ISO 27001,Medium,Compliant,Cloud Ops,132,Not Required,,0.0,,2,0,0,0,3.47
FND-0136,AWS,AWS-RES-0136,eu-west-2,Backup & Recovery,NIST,High,Compliant,Cloud Ops,304,Not Required,,,,3,0,1,0,6.0
FND-0137,AWS,AWS-RES-0137,eu-west-1,Identity & Access,ISO 27001,High,Non-Compliant,IAM,296,Accepted Risk,1.0,,,3,1,1,0,9.0
FND-0138,AWS,AWS-RES-0138,eu-west-1,Logging & Monitoring,CIS,Low,Non-Compliant,Platform,13,Accepted Risk,,,,1,1,0,0,2.14
FND-0139,AWS,AWS-RES-0139,eu-west-1,Identity & Access,NIST,Low,Non-Compliant,IAM,171,Open,1.0,,,1,1,0,1,3.9
FND-0140,Azure,Azure-RES-0140,UK South,Logging & Monitoring,CIS,Medium,Exception,IAM,269,In Progress,,,,2,0,0,1,4.99
FND-0141,AWS,AWS-RES-0141,us-east-1,Identity & Access,ISO 27001,Critical,Compliant,Security,280,Not Required,1.0,,,4,0,1,0,7.0
FND-0142,AWS,AWS-RES-0142,eu-west-2,Configuration,NIST,Medium,Compliant,IAM,293,Not Required,,,,2,0,0,0,5.0
FND-0143,Azure,Azure-RES-0143,UK South,Backup & Recovery,CIS,Medium,Compliant,Platform,193,Not Required,,,,2,0,0,0,4.14
FND-0144,AWS,AWS-RES-0144,us-east-1,Network Security,NIST,High,Non-Compliant,Platform,294,In Progress,,0.0,,3,1,1,1,9.0
FND-0145,Azure,Azure-RES-0145,East US,Network Security,ISO 27001,Medium,Compliant,Network,167,Not Required,,0.0,,2,0,0,0,3.86
FND-0146,AWS,AWS-RES-0146,us-east-1,Network Security,CIS,Low,Compliant,Platform,120,Not Required,,0.0,,1,0,0,0,2.33
FND-0147,AWS,AWS-RES-0147,eu-west-1,Configuration,NIST,Medium,Compliant,Security,328,Not Required,,,,2,0,0,0,5.0
FND-0148,Azure,Azure-RES-0148,East US,Data Protection,ISO 27001,High,Compliant,Network,100,Not Required,,,1.0,3,0,1,0,4.11
FND-0149,Azure,Azure-RES-0149,East US,Data Protection,NIST,Low,Exception,Security,143,Open,,,1.0,1,0,0,1,2.59
FND-0150,Azure,Azure-RES-0150,UK South,Identity & Access,CIS,High,Compliant,Cloud Ops,27,Not Required,1.0,,,3,0,1,0,3.3
FND-0151,Azure,Azure-RES-0151,West Europe,Identity & Access,CIS,Low,Compliant,Security,329,Not Required,1.0,,,1,0,0,0,4.0
FND-0152,AWS,AWS-RES-0152,eu-west-1,Identity & Access,CIS,Medium,Compliant,IAM,65,Not Required,1.0,,,2,0,0,0,2.72
FND-0153,Azure,Azure-RES-0153,East US,Network Security,CIS,Low,Exception,Network,358,Open,,1.0,,1,0,0,1,4.0
FND-0154,AWS,AWS-RES-0154,eu-west-1,Logging & Monitoring,ISO 27001,Medium,Compliant,Security,2,Not Required,,,,2,0,0,0,2.02
FND-0155,AWS,AWS-RES-0155,eu-west-1,Network Security,ISO 27001,Critical,Exception,Platform,125,In Progress,,0.0,,4,0,1,1,5.39
FND-0156,AWS,AWS-RES-0156,us-east-1,Logging & Monitoring,NIST,Low,Compliant,Platform,270,Not Required,,,,1,0,0,0,4.0
FND-0157,AWS,AWS-RES-0157,eu-west-2,Network Security,CIS,Medium,Non-Compliant,Cloud Ops,88,Accepted Risk,,0.0,,2,1,0,0,4.98
FND-0158,AWS,AWS-RES-0158,eu-west-2,Configuration,ISO 27001,High,Compliant,Security,90,Not Required,,,,3,0,1,0,4.0
FND-0159,AWS,AWS-RES-0159,us-east-1,Configuration,ISO 27001,Low,Compliant,Security,70,Not Required,,,,1,0,0,0,1.78
FND-0160,AWS,AWS-RES-0160,eu-west-1,Data Protection,NIST,Medium,Compliant,IAM,102,Not Required,,,0.0,2,0,0,0,3.13
FND-0161,Azure,Azure-RES-0161,East US,Logging & Monitoring,ISO 27001,Medium,Non-Compliant,Platform,45,Accepted Risk,,,,2,1,0,0,4.5
FND-0162,AWS,AWS-RES-0162,us-east-1,Configuration,CIS,Medium,Compliant,Network,349,Not Required,,,,2,0,0,0,5.0
FND-0163,Azure,Azure-RES-0163,West Europe,Network Security,ISO 27001,Medium,Non-Compliant,Security,45,Open,,0.0,,2,1,0,1,4.5
FND-0164,Azure,Azure-RES-0164,West Europe,Identity & Access,CIS,Medium,Non-Compliant,IAM,364,Remediated,1.0,,,2,1,0,0,7.0
FND-0165,Azure,Azure-RES-0165,West Europe,Logging & Monitoring,ISO 27001,Medium,Exception,Platform,64,Accepted Risk,,,,2,0,0,0,2.71
FND-0166,AWS,AWS-RES-0166,eu-west-1,Identity & Access,CIS,Critical,Non-Compliant,Platform,94,Open,1.0,,,4,1,1,1,9.04
FND-0167,AWS,AWS-RES-0167,eu-west-1,Network Security,CIS,Medium,Compliant,Network,30,Not Required,,0.0,,2,0,0,0,2.33
FND-0168,AWS,AWS-RES-0168,us-east-1,Logging & Monitoring,ISO 27001,High,Compliant,Network,349,Not Required,,,,3,0,1,0,6.0
FND-0169,AWS,AWS-RES-0169,eu-west-1,Logging & Monitoring,ISO 27001,Medium,Compliant,Security,73,Not Required,,,,2,0,0,0,2.81
FND-0170,Azure,Azure-RES-0170,East US,Logging & Monitoring,CIS,High,Non-Compliant,IAM,26,Accepted Risk,,,,3,1,1,0,6.29
FND-0171,Azure,Azure-RES-0171,West Europe,Identity & Access,ISO 27001,Medium,Non-Compliant,Platform,29,In Progress,1.0,,,2,1,0,1,4.32
FND-0172,AWS,AWS-RES-0172,eu-west-2,Configuration,ISO 27001,Medium,Compliant,Network,208,Not Required,,,,2,0,0,0,4.31
FND-0173,Azure,Azure-RES-0173,East US,Configuration,ISO 27001,Low,Non-Compliant,Cloud Ops,261,In Progress,,,,1,1,0,1,4.9
FND-0174,AWS,AWS-RES-0174,eu-west-2,Identity & Access,CIS,High,Compliant,Network,324,Not Required,1.0,,,3,0,1,0,6.0
FND-0175,AWS,AWS-RES-0175,eu-west-2,Identity & Access,NIST,Medium,Compliant,Network,38,Not Required,1.0,,,2,0,0,0,2.42
FND-0176,Azure,Azure-RES-0176,UK South,Network Security,NIST,High,Compliant,Security,256,Not Required,,0.0,,3,0,1,0,5.84
FND-0177,AWS,AWS-RES-0177,us-east-1,Data Protection,CIS,High,Compliant,IAM,47,Not Required,,,1.0,3,0,1,0,3.52
FND-0178,Azure,Azure-RES-0178,West Europe,Data Protection,NIST,Medium,Compliant,Cloud Ops,59,Not Required,,,1.0,2,0,0,0,2.66
FND-0179,AWS,AWS-RES-0179,us-east-1,Configuration,CIS,High,Compliant,Cloud Ops,321,Not Required,,,,3,0,1,0,6.0
FND-0180,Azure,Azure-RES-0180,West Europe,Network Security,NIST,Medium,Compliant,Network,217,Not Required,,0.0,,2,0,0,0,4.41
FND-0181,AWS,AWS-RES-0181,eu-west-1,Logging & Monitoring,NIST,High,Compliant,Cloud Ops,159,Not Required,,,,3,0,1,0,4.77
FND-0182,AWS,AWS-RES-0182,eu-west-2,Identity & Access,CIS,Medium,Non-Compliant,Cloud Ops,135,Open,1.0,,,2,1,0,1,5.5
FND-0183,Azure,Azure-RES-0183,West Europe,Identity & Access,ISO 27001,Critical,Compliant,Security,137,Not Required,0.0,,,4,0,1,0,5.52
FND-0184,Azure,Azure-RES-0184,West Europe,Configuration,NIST,Critical,Compliant,Network,340,Not Required,,,,4,0,1,0,7.0
FND-0185,AWS,AWS-RES-0185,eu-west-2,Logging & Monitoring,NIST,Critical,Compliant,Security,100,Not Required,,,,4,0,1,0,5.11
